candidate_id,date,title,category,actors,rationale,inclusion_status,notes
CAND-V3-001,2022-10-07,U.S. imposes sweeping advanced-computing and semiconductor controls on China,Export controls and technology restrictions,"U.S. Commerce/BIS; China; Nvidia; AMD; semiconductor toolmakers","Major structural escalation targeting advanced chips, semiconductor tools, supercomputing, and U.S.-person support.",Exclude,"Duplicate of V2 event E005, BIS Advanced Semiconductor Export Controls."
CAND-V3-002,2023-10-17,U.S. tightens AI-chip export rules to China,Export controls and technology restrictions,"U.S. Commerce/BIS; China; Nvidia; AMD; Intel","Follow-on tightening to the 2022 controls, closing loopholes and extending restrictions to additional chips and entities.",Include,"Strong candidate; verify final rule publication date and map to first trading day if needed."
CAND-V3-003,2024-12-02,U.S. expands semiconductor controls targeting China's advanced-chip capacity,Export controls and technology restrictions,"U.S. Commerce/BIS; China; semiconductor equipment firms; HBM supply chain","Further control expansion targeting advanced-chip capacity, chipmaking equipment, HBM, software, and Chinese entities.",Include,"Strong candidate; code as export-control escalation and strategic-technology restriction."
CAND-V3-004,2019-05-15,Huawei added to U.S. Entity List,Export controls and technology restrictions,"U.S. Commerce/BIS; Huawei; U.S. technology suppliers","Early structural U.S.-China technology-decoupling event restricting Huawei's access to U.S. technology.",Include,"Strong 2019 anchor event for tech-decoupling period."
CAND-V3-005,2020-05-15,U.S. foreign-direct-product rule tightened against Huawei,Export controls and technology restrictions,"U.S. Commerce/BIS; Huawei; TSMC; global foundries","Restricted Huawei's ability to source chips manufactured abroad using U.S. technology.",Include,"High relevance to Taiwan foundry geopolitics; check same-day confounding with TSMC Arizona announcement."
CAND-V3-006,2020-12-18,SMIC added to U.S. Entity List,Export controls and technology restrictions,"U.S. Commerce/BIS; SMIC; China","Restricted China's leading foundry from accessing key U.S. technology.",Include,"Strong candidate for China semiconductor capacity constraint and substitution narratives."
CAND-V3-007,2023-01-27,U.S. Japan and Netherlands align on China chip-tool controls,Export controls and technology restrictions,"United States; Japan; Netherlands; ASML; Tokyo Electron","Multilateral alignment broadened advanced semiconductor equipment restrictions beyond unilateral U.S. controls.",Include,"Important allied-control event; verify announcement timing against market close."
CAND-V3-008,2023-06-30,Netherlands announces semiconductor equipment export licensing rules,Export controls and technology restrictions,"Dutch government; ASML; China","Dutch licensing rules affected exports of advanced semiconductor manufacturing equipment to China.",Include,"Strong ASML and China fab-capex event."
CAND-V3-009,2024-01-01,Dutch restrictions halt some ASML China shipments,Export controls and technology restrictions,"Dutch government; ASML; China","Reported halt or license restriction affected shipment of certain advanced ASML systems to China.",Review Further,"Need date reconciliation: rule effective date, license revocation, company disclosure, and trading-day timing may differ."
CAND-V3-010,2025-06-15,Taiwan adds Huawei and SMIC to export-control list,Export controls and technology restrictions,"Taiwan government; Huawei; SMIC","Taiwan tightened controls on leading Chinese semiconductor firms.",Include,"Strong Taiwan-specific technology-security alignment event; verify official publication and first trading day."
CAND-V3-011,2023-05-21,China bars Micron products from critical information infrastructure,China countermeasures and supply-chain security,"Cyberspace Administration of China; Micron; Chinese critical infrastructure operators","China's cybersecurity review led to restrictions on Micron purchases by critical infrastructure operators.",Include,"Strong countermeasure event; code as economic coercion or supply-chain security."
CAND-V3-012,2023-07-03,China announces gallium and germanium export controls,China countermeasures and critical materials,"China Ministry of Commerce; global semiconductor and materials buyers","Licensing controls covered materials used in chips, RF electronics, optics, and defense supply chains.",Include,"Strong critical-materials leverage event."
CAND-V3-013,2023-10-20,China announces graphite export controls,China countermeasures and critical materials,"China Ministry of Commerce; battery and strategic-technology supply chains","Export controls targeted graphite, a key battery and strategic-technology input.",Include,"Useful for broader strategic-materials coverage beyond semiconductors."
CAND-V3-014,2023-12-26,China moves to replace Intel and AMD chips in government systems,China countermeasures and supply-chain security,"Chinese government; Intel; AMD; domestic Chinese CPU suppliers","China approved domestic processors and moved toward replacing foreign hardware in government systems.",Review Further,"Need evidence review for exact public-disclosure date and whether 2023-12-26 or later reporting is the market-relevant date."
CAND-V3-015,2024-12-03,China bans U.S. exports of gallium germanium antimony and related dual-use materials,China countermeasures and critical materials,"China Ministry of Commerce; United States; technology and defense supply chains","China restricted or banned exports to the United States of several strategic materials after U.S. semiconductor-control expansion.",Include,"Strong retaliation and supply-chain-security event."
CAND-V3-016,2022-08-09,U.S. CHIPS and Science Act signed,State support and industrial policy,"U.S. government; semiconductor manufacturers","Major U.S. industrial-policy package with subsidies and tax incentives for domestic semiconductor capacity.",Include,"Strong state-support event; code as strategic importance and industrial policy."
CAND-V3-017,2020-05-15,TSMC announces $12 billion Arizona fab,Strategic investment and supply-chain security,"TSMC; U.S. federal and state officials","TSMC committed to an advanced U.S. fabrication facility.",Review Further,"Relevant but same-day Huawei FDPR creates confounding risk; consider if event window can isolate."
CAND-V3-018,2022-12-06,TSMC expands Arizona plan to $40 billion and second fab,Strategic investment and supply-chain security,"TSMC; U.S. government; chip customers","TSMC expanded its Arizona footprint amid CHIPS Act implementation and supply-chain-security pressure.",Exclude,"Duplicate of V2 event E006, TSMC Arizona US$40B Expansion."
CAND-V3-019,2023-09-18,European Chips Act published in EU Official Journal,State support and industrial policy,"European Union; EU member states; semiconductor firms","EU framework aimed to strengthen the European semiconductor ecosystem and reduce supply dependence.",Include,"Good allied industrial-policy comparator."
CAND-V3-020,2024-02-24,TSMC opens first Japan plant in Kumamoto,Strategic investment and supply-chain security,"TSMC; Japan; Sony; Denso; Toyota","TSMC opened a Japan fab with substantial Japanese government support and major local customers.",Include,"Strong Taiwan-linked diversification event; code as strategic investment and state support."
